Xco2,Latitude,Longitude,quality_flag,DateTime,Year,Month,Day
404.03055,-44.19132,167.40633,0,1/1/2018 2:47,2018,1,1
404.86618,-43.922077,167.38118,0,1/1/2018 2:47,2018,1,1
404.32532,-43.83007,167.35449,0,1/1/2018 2:47,2018,1,1
403.77972,-43.60491,167.30621,0,1/1/2018 2:47,2018,1,1
404.337,-43.53357,167.19719,0,1/1/2018 2:47,2018,1,1
403.60623,-43.445316,167.15402,0,1/1/2018 2:47,2018,1,1
403.26163,-43.30595,167.2368,0,1/1/2018 2:47,2018,1,1
403.87943,-43.21864,167.19444,0,1/1/2018 2:47,2018,1,1
403.3,-43.13946,167.11942,0,1/1/2018 2:47,2018,1,1
403.68442,-42.89489,167.06525,0,1/1/2018 2:47,2018,1,1
403.98795,-42.733322,167.0019,0,1/1/2018 2:47,2018,1,1
404.49835,-42.55537,167.00316,0,1/1/2018 2:47,2018,1,1
404.93793,-42.44,166.91885,0,1/1/2018 2:47,2018,1,1
403.69604,-41.747784,166.69005,0,1/1/2018 2:48,2018,1,1
404.18588,-41.618824,166.72134,0,1/1/2018 2:48,2018,1,1
403.26837,-41.536034,166.66472,0,1/1/2018 2:48,2018,1,1
404.58856,-41.44814,166.62334,0,1/1/2018 2:48,2018,1,1
403.15616,-41.355858,166.59735,0,1/1/2018 2:48,2018,1,1
403.896,-41.26376,166.5715,0,1/1/2018 2:48,2018,1,1
404.8143,-41.171665,166.54594,0,1/1/2018 2:48,2018,1,1
403.40414,-41.080036,166.5208,0,1/1/2018 2:48,2018,1,1
404.2378,-40.99323,166.48058,0,1/1/2018 2:48,2018,1,1
403.52887,-40.90115,166.45563,0,1/1/2018 2:48,2018,1,1
404.46808,-40.81354,166.41513,0,1/1/2018 2:48,2018,1,1
403.9226,-40.669296,166.48933,0,1/1/2018 2:48,2018,1,1
403.76736,-40.576427,166.46327,0,1/1/2018 2:48,2018,1,1
404.28784,-40.493782,166.40825,0,1/1/2018 2:48,2018,1,1
403.9383,-40.407154,166.36862,0,1/1/2018 2:48,2018,1,1
404.27496,-40.286823,166.3681,0,1/1/2018 2:48,2018,1,1
404.3501,-40.209248,166.29861,0,1/1/2018 2:48,2018,1,1
403.9892,-40.046173,166.3022,0,1/1/2018 2:48,2018,1,1
404.27725,-39.788284,166.16771,0,1/1/2018 2:48,2018,1,1
404.03793,-39.49629,166.13684,0,1/1/2018 2:48,2018,1,1
404.57245,-39.288883,166.09653,0,1/1/2018 2:48,2018,1,1
403.46033,-38.84656,165.91467,0,1/1/2018 2:48,2018,1,1
404.27423,-38.598125,165.92517,0,1/1/2018 2:49,2018,1,1
403.71805,-38.001038,165.67506,0,1/1/2018 2:49,2018,1,1
404.40094,-37.422886,165.53963,0,1/1/2018 2:49,2018,1,1
404.25192,-37.29504,165.55031,0,1/1/2018 2:49,2018,1,1
